Date;PX_LAST;PX_OPEN;PX_LOW;PX_HIGH;PX_VOLUME;AVERAGE_BID_ASK_SPREAD_%;VOLUME_TOTAL_PUT;VOLUME_TOTAL_CALL;PUT_CALL_OPEN_INTEREST_TOTAL;OPEN_INT_TOTAL_CALL;SHORT_INT;SHORT_INT_RATIO
01.01.2008;101,35;101,37;101,35;101,4;1600;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
02.01.2008;101,49;101,15;101,15;101,53;7600;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
03.01.2008;101,67;101,77;101,67;101,77;2300;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
04.01.2008;101,72;101,74;101,6588;101,74;1800;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
07.01.2008;101,95;101,86;101,69;101,95;11000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
08.01.2008;102,1968;102,23;101,24;102,23;45700;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
09.01.2008;102,12;102,22;102,12;102,22;1400;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
10.01.2008;102,21;102,09;102,09;102,21;300;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
11.01.2008;101,838;102,02;101,838;102,07;1800;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
14.01.2008;102,19;102,1;102,1;102,19;13100;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;17677;#N/A N/A
15.01.2008;102,36;102,26;102,26;102,36;104100;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;76288;#N/A N/A
16.01.2008;102,5;102,34;102,112;102,5;3100;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;76288;#N/A N/A
