Date,Open,High,Low,Close,Adj Close
1/2/1962,4.06,4.06,4.06,4.06,4.06
1/3/1962,4.03,4.03,4.03,4.03,4.03
1/4/1962,3.99,3.99,3.99,3.99,3.99
1/5/1962,4.02,4.02,4.02,4.02,4.02
1/7/1962,null,null,null,null,null
1/8/1962,4.03,4.03,4.03,4.03,4.03
1/9/1962,4.05,4.05,4.05,4.05,4.05
1/10/1962,4.07,4.07,4.07,4.07,4.07
1/11/1962,4.08,4.08,4.08,4.08,4.08
1/12/1962,4.08,4.08,4.08,4.08,4.08
1/14/1962,null,null,null,null,null
1/15/1962,4.1,4.1,4.1,4.1,4.1
1/16/1962,4.13,4.13,4.13,4.13,4.13
1/17/1962,4.12,4.12,4.12,4.12,4.12
1/18/1962,4.11,4.11,4.11,4.11,4.11
1/19/1962,4.11,4.11,4.11,4.11,4.11
1/21/1962,null,null,null,null,null
1/22/1962,4.09,4.09,4.09,4.09,4.09
1/23/1962,4.11,4.11,4.11,4.11,4.11
1/24/1962,4.1,4.1,4.1,4.1,4.1
1/25/1962,4.11,4.11,4.11,4.11,4.11
1/26/1962,4.11,4.11,4.11,4.11,4.11
1/28/1962,null,null,null,null,null
1/29/1962,4.12,4.12,4.12,4.12,4.12
1/30/1962,4.11,4.11,4.11,4.11,4.11
1/31/1962,4.1,4.1,4.1,4.1,4.1
2/1/1962,4.09,4.09,4.09,4.09,4.09
2/2/1962,4.08,4.08,4.08,4.08,4.08
2/4/1962,null,null,null,null,null
2/5/1962,4.07,4.07,4.07,4.07,4.07
2/6/1962,4.06,4.06,4.06,4.06,4.06
2/7/1962,4.07,4.07,4.07,4.07,4.07
2/8/1962,4.07,4.07,4.07,4.07,4.07
2/9/1962,4.05,4.05,4.05,4.05,4.05
2/11/1962,null,null,null,null,null
2/12/1962,null,null,null,null,null
2/13/1962,4.03,4.03,4.03,4.03,4.03
2/14/1962,4.03,4.03,4.03,4.03,4.03
2/15/1962,4.02,4.02,4.02,4.02,4.02
2/16/1962,4.02,4.02,4.02,4.02,4.02
2/18/1962,null,null,null,null,null
2/19/1962,4.01,4.01,4.01,4.01,4.01
2/20/1962,4.05,4.05,4.05,4.05,4.05
2/21/1962,4.03,4.03,4.03,4.03,4.03
2/22/1962,null,null,null,null,null
2/23/1962,4.02,4.02,4.02,4.02,4.02
2/25/1962,null,null,null,null,null
2/26/1962,4,4,4,4,4
2/27/1962,4.01,4.01,4.01,4.01,4.01
2/28/1962,4,4,4,4,4
3/1/1962,3.98,3.98,3.98,3.98,3.98
3/2/1962,3.98,3.98,3.98,3.98,3.98
3/4/1962,null,null,null,null,null
3/5/1962,4,4,4,4,4
3/6/1962,4.01,4.01,4.01,4.01,4.01
3/7/1962,4,4,4,4,4
3/8/1962,3.98,3.98,3.98,3.98,3.98
3/9/1962,3.96,3.96,3.96,3.96,3.96
3/11/1962,null,null,null,null,null
3/12/1962,3.94,3.94,3.94,3.94,3.94
3/13/1962,3.92,3.92,3.92,3.92,3.92
3/14/1962,3.93,3.93,3.93,3.93,3.93
3/15/1962,3.96,3.96,3.96,3.96,3.96
3/16/1962,3.96,3.96,3.96,3.96,3.96
3/18/1962,null,null,null,null,null
3/19/1962,3.93,3.93,3.93,3.93,3.93
3/20/1962,3.91,3.91,3.91,3.91,3.91
3/21/1962,3.86,3.86,3.86,3.86,3.86
3/22/1962,3.83,3.83,3.83,3.83,3.83
3/23/1962,3.87,3.87,3.87,3.87,3.87
3/25/1962,null,null,null,null,null
3/26/1962,3.89,3.89,3.89,3.89,3.89
3/27/1962,3.9,3.9,3.9,3.9,3.9
